,full_name,age,state,hours_worked_in_2021,consultant_type
0,Nicholas Smith,47,CA,1883,Senior Software Engineer
1,Joel Davis,50,WA,1877,Technical Lead
2,Scott Norton,31,WA,1875,Technical Lead
3,Chad Robinson,50,NY,1868,Software Engineer
4,Ryan Glenn,50,FL,1907,Senior Software Engineer
5,Patrick Lewis,48,FL,1866,Technical Lead
6,Richard Huang,48,CA,1852,Technical Lead
7,Valerie Estrada,42,WA,1878,Senior Software Engineer
8,William Hill,52,CA,1889,Technical Architect
9,Charles Mendez,38,WA,1873,Technical Lead
10,Nancy Hill,38,WA,1892,Software Engineer
11,Daniel Adkins,44,FL,1892,Technical Lead
12,Francisco Harris,39,CA,1901,Senior Software Engineer
13,Mary Benton,44,NY,1871,Technical Lead
14,Nicholas Ortega,45,WA,1884,Senior Software Engineer
15,Richard Tran,45,WA,1893,Software Engineer
16,William Nelson,32,WA,1879,Software Engineer
17,William Lyons,44,NY,1875,Technical Lead
18,Joseph Cameron,50,FL,1879,Technical Lead
19,Karen Ross,51,NY,1864,Software Engineer
20,Anna Phelps,45,WA,1897,Technical Lead
21,Alice Dawson,38,WA,1878,Technical Lead
22,Ann Thomas,51,WA,1889,Technical Architect
23,Lauren Mathis,49,WA,1872,Senior Software Engineer
24,Jacob Houston,38,WA,1867,Technical Architect
25,John Williams,43,WA,1866,Senior Software Engineer
26,Andrew Adams,45,WA,1874,Technical Lead
27,Kristin Smith,49,CA,1879,Technical Architect
28,Leslie Johnson,50,NY,1870,Technical Architect
29,Michael Rogers,54,NY,1854,Software Engineer
30,John Lam,45,CA,1873,Senior Software Engineer
31,Joseph Richards,47,NY,1883,Software Engineer
32,Lisa Moore,34,FL,1883,Senior Software Engineer
33,Lindsey Ware,41,NY,1878,Technical Lead
34,Alyssa Austin,50,CA,1895,Senior Software Engineer
35,Ryan Mann,45,NY,1878,Senior Software Engineer
36,Mary Hogan,39,WA,1887,Technical Architect
37,Mary Chapman,41,NY,1895,Technical Lead
38,Steven Hensley,48,WA,1886,Technical Architect
39,Melissa Jones,47,WA,1895,Technical Lead
40,Anthony Wilson,45,FL,1873,Technical Lead
41,Christopher Garcia,43,CA,1868,Technical Architect
42,Gloria Johnson,48,WA,1885,Software Engineer
43,Eric Howard,43,CA,1871,Senior Software Engineer
44,Melanie Travis,40,WA,1867,Technical Lead
45,Trevor Drake,39,NY,1871,Technical Lead
46,Melanie Hodge,49,WA,1884,Software Engineer
47,John Lester,41,NY,1889,Technical Architect
48,William Li,50,FL,1896,Senior Software Engineer
49,Mario Knight,39,WA,1873,Technical Lead
50,Amber Harrison,50,WA,1885,Technical Lead
51,Mike Jennings,37,WA,1875,Senior Software Engineer
52,Jeremy Jones,43,WA,1859,Technical Architect
53,April Gardner,54,WA,1879,Software Engineer
54,Grace Armstrong,47,WA,1856,Technical Lead
55,Stacey Sanchez,51,FL,1883,Technical Lead
56,Hunter Fields,45,CA,1888,Senior Software Engineer
57,Phillip Sawyer,51,FL,1878,Software Engineer
58,Virginia Hood,54,NY,1894,Software Engineer
59,Stephanie Singh,38,CA,1874,Technical Lead
60,Alexis Stewart,43,WA,1872,Senior Software Engineer
61,Ernest George,37,CA,1889,Technical Lead
62,Alexandra Riley,47,FL,1884,Technical Lead
63,Kelly Page,53,FL,1889,Technical Lead
64,Kyle Tucker,47,FL,1867,Technical Architect
65,Michael Turner,43,NY,1878,Technical Lead
66,Emily Key,50,WA,1881,Technical Lead
67,Joshua Allen,43,WA,1866,Senior Software Engineer
68,Mario Wolf,34,WA,1891,Technical Lead
69,Toni Jones,41,FL,1903,Senior Software Engineer
70,Christina Graves,36,NY,1895,Technical Lead
71,Jimmy Lin,53,WA,1859,Technical Lead
72,Derrick Campbell,49,FL,1881,Technical Lead
73,Brian Baker,48,FL,1876,Technical Lead
74,Joseph Reyes,48,WA,1869,Software Engineer
75,Randy Mcdaniel,47,FL,1867,Software Engineer
76,Debra Holland,43,WA,1891,Technical Lead
77,April Robbins,45,WA,1858,Technical Lead
78,Stephen Estrada,37,NY,1874,Technical Lead
79,Nathan Cox,37,WA,1865,Technical Lead
80,Amy Little,46,FL,1878,Technical Lead
81,Catherine Farrell,53,NY,1880,Technical Lead
82,Joshua Blair,43,FL,1881,Senior Software Engineer
83,Thomas Chavez,37,CA,1886,Technical Lead
84,Angela Smith,47,WA,1888,Technical Architect
85,Gary Cervantes,46,WA,1862,Software Engineer
86,David Davis,46,NY,1891,Technical Lead
87,Rick Hernandez,45,NY,1901,Software Engineer
88,Jessica Burke,54,WA,1894,Technical Lead
89,Joshua Jones,43,WA,1862,Technical Lead
90,Douglas Chandler,40,FL,1889,Senior Software Engineer
91,Denise Hess,43,FL,1875,Technical Lead
92,Pamela Davis,45,WA,1878,Software Engineer
93,Margaret Perez,43,WA,1897,Software Engineer
94,John Jones,41,WA,1879,Technical Lead
95,James Berg,45,WA,1886,Technical Lead
96,Richard Hampton,41,CA,1901,Senior Software Engineer
97,Timothy Jones,51,WA,1893,Technical Lead
98,Kyle Mack,36,CA,1876,Technical Lead
99,Christopher Serrano,40,CA,1884,Senior Software Engineer
100,Jacqueline Allen,50,WA,1897,Senior Software Engineer
101,Dana Jordan,51,NY,1878,Technical Architect
102,Ian Garcia,51,FL,1899,Senior Software Engineer
103,Sarah Bond,49,NY,1872,Senior Software Engineer
104,Christina Schneider,43,NY,1865,Technical Lead
105,Amy Mcdonald,46,CA,1872,Senior Software Engineer
106,William Taylor,42,WA,1890,Technical Lead
107,Carrie Smith,45,WA,1876,Technical Lead
108,Jeffrey Mckenzie,37,NY,1873,Technical Lead
109,Kristina Perkins,48,MT,1876,Technical Lead
110,Stephanie Garrett,47,CA,1867,Senior Software Engineer
111,Madison Anderson,42,NY,1881,Technical Lead
112,Brent Hardy,45,WA,1884,Technical Lead
113,John Gonzalez,43,CA,1893,Technical Lead
114,Juan Rodriguez,42,WA,1886,Technical Lead
115,Candace Kemp,43,CA,1860,Technical Lead
116,Brandy Wyatt,49,FL,1892,Technical Architect
117,Joshua Richmond,45,FL,1869,Software Engineer
118,Jocelyn Woods,51,CA,1894,Technical Architect
119,Karen Smith,43,FL,1907,Senior Software Engineer
120,Frederick Murphy,43,FL,1904,Senior Software Engineer
121,Kristen Bradley,49,FL,1869,Software Engineer
122,Amber Murphy,42,NY,1895,Technical Architect
123,Alyssa Saunders,49,CA,1888,Software Engineer
124,Vanessa Bennett,46,NY,1892,Technical Lead
125,Lee Evans,52,NY,1874,Senior Software Engineer
126,Francisco Levine,47,CA,1858,Technical Lead
127,Carlos Wolfe,42,CA,1852,Technical Lead
128,Michaela Gutierrez,51,CA,1863,Senior Software Engineer
129,Lawrence Boone,36,CA,1877,Technical Lead
130,Steven Roberts,45,NY,1893,Senior Software Engineer
131,Jennifer Fox,40,CA,1855,Technical Lead
132,Angela Cain,48,FL,1872,Software Engineer
133,John Chang,49,NY,1889,Technical Architect
134,Ruth Edwards,48,WA,1868,Senior Software Engineer
135,David Eaton,43,WA,1898,Senior Software Engineer
136,Kari Patel,50,CA,1888,Technical Lead
137,Kimberly Hurley,43,CA,1867,Technical Architect
138,Thomas Medina,37,CA,1873,Technical Architect
139,Yolanda Benjamin,34,NY,1860,Software Engineer
140,Andrea Cooper,41,WA,1879,Technical Architect
141,Jamie Butler,41,WA,1872,Senior Software Engineer
142,Valerie Garza,48,CA,1865,Technical Lead
143,Deborah Khan,40,CA,1861,Technical Architect
144,Jennifer Wilson,42,NY,1880,Senior Software Engineer
145,Lance Schultz,42,WA,1872,Technical Lead
146,Eric Contreras,43,NY,1887,Technical Architect
147,Michelle Richardson,53,MT,1893,Software Engineer
148,Katrina Jennings,44,WA,1882,Technical Architect
149,Michael Scott,38,NY,1877,Software Engineer
150,Edward Peterson,37,WA,1889,Senior Software Engineer
151,Mary Butler,45,WA,1873,Technical Lead
152,John Soto,54,NY,1859,Technical Lead
153,Julie Gonzalez,44,WA,1888,Senior Software Engineer
154,James Robertson,35,NY,1871,Senior Software Engineer
155,Theresa Ramos,50,NY,1886,Technical Lead
156,Michael Butler,39,WA,1891,Technical Architect
157,Tamara Hernandez,44,NY,1879,Senior Software Engineer
158,Danielle Aguilar,48,NY,1880,Technical Lead
159,Connie Bauer,41,WA,1866,Technical Architect
160,Robert Nash,45,CA,1901,Technical Architect
161,Christopher Walker,58,WA,1873,Software Engineer
162,Shawn Carter,50,WA,1887,Technical Architect
163,Heather Jimenez,44,WA,1872,Technical Lead
164,Lori Meyers,53,CA,1895,Technical Lead
165,Jonathan Allen,48,CA,1867,Technical Lead
166,Aaron Hernandez,46,NY,1867,Software Engineer
167,Angelica Campos,46,NY,1880,Technical Lead
168,James Gomez,45,FL,1859,Senior Software Engineer
169,John Lee,51,CA,1882,Technical Architect
170,Jackson Graham,38,NY,1883,Technical Lead
171,Dustin Martinez,47,NY,1900,Technical Architect
172,Alexis Robbins,44,NY,1902,Technical Lead
173,Carol Lyons,44,MT,1879,Technical Architect
174,Kim Nguyen,53,FL,1896,Technical Architect
175,Steven Myers,41,WA,1884,Technical Lead
176,Shawn Brooks,36,NY,1854,Technical Lead
177,Timothy Arnold,44,FL,1898,Technical Lead
178,John Woods,41,FL,1884,Technical Lead
179,Philip Smith,39,NY,1882,Senior Software Engineer
180,Erica Sweeney,48,WA,1872,Technical Architect
181,Ashley Roberts,48,WA,1898,Senior Software Engineer
182,Alan Smith,41,FL,1883,Technical Architect
183,Michael Hart,47,NY,1882,Technical Lead
184,Andrew Davis,46,WA,1866,Senior Software Engineer
185,Kristen Gallagher,48,NY,1880,Technical Lead
186,Sabrina Smith,47,NY,1900,Technical Lead
187,David Koch,50,WA,1881,Technical Lead
188,Michele Jones,45,CA,1886,Technical Lead
189,Deborah Medina,40,CA,1890,Technical Lead
190,Laura Mitchell,42,NY,1884,Technical Lead
191,Deanna Taylor,43,NY,1890,Technical Lead
192,Jacqueline Burton,49,CA,1882,Technical Lead
193,Holly James,43,FL,1868,Senior Software Engineer
194,Kimberly Montgomery,40,WA,1878,Senior Software Engineer
195,Jessica Smith,41,FL,1883,Senior Software Engineer
196,Tricia Mendoza,45,NY,1881,Technical Lead
197,Tiffany Schultz,49,NY,1879,Technical Lead
198,Kimberly Medina,40,MT,1881,Technical Lead
